epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4885.83,0.89798,0.33321,1.01145,0.99994,1,0.995,0.78292,0.88863,0.26433,0.98043,0.002773,0.002773,0.002773
75,4951.01,0.89445,0.33142,1.01754,0.99994,1,0.995,0.78566,0.89028,0.26505,0.98682,0.002674,0.002674,0.002674
76,5016.02,0.894,0.33174,1.01159,0.99992,1,0.995,0.7855,0.88855,0.26578,0.98499,0.002575,0.002575,0.002575
77,5081.02,0.88741,0.32783,1.01129,0.99993,1,0.995,0.78627,0.88975,0.26449,0.98013,0.002476,0.002476,0.002476
78,5146.04,0.88953,0.32797,1.01165,0.99993,1,0.995,0.78445,0.89203,0.26511,0.98315,0.002377,0.002377,0.002377
79,5211.33,0.88702,0.32403,1.006,0.99993,1,0.995,0.78642,0.89256,0.26315,0.978,0.002278,0.002278,0.002278
80,5276.62,0.89158,0.32557,1.01347,0.99993,1,0.995,0.7855,0.89,0.26215,0.97948,0.002179,0.002179,0.002179
81,5341.61,0.88794,0.32203,1.01045,0.99994,1,0.995,0.78734,0.88825,0.26132,0.97978,0.00208,0.00208,0.00208
82,5406.65,0.88032,0.31977,1.00253,0.99994,1,0.995,0.78699,0.8904,0.26044,0.9753,0.001981,0.001981,0.001981
83,5471.97,0.88425,0.31918,1.00812,0.99994,1,0.995,0.78754,0.89173,0.26043,0.97627,0.001882,0.001882,0.001882
84,5537,0.8777,0.31488,1.00248,0.99994,1,0.995,0.7873,0.89238,0.25989,0.97609,0.001783,0.001783,0.001783
85,5601.85,0.87571,0.31657,1.00002,0.99994,1,0.995,0.78665,0.8914,0.26111,0.9742,0.001684,0.001684,0.001684
86,5666.77,0.87161,0.31529,1.00754,0.99994,1,0.995,0.78728,0.89039,0.25995,0.97744,0.001585,0.001585,0.001585
87,5731.92,0.87196,0.31344,1.00616,0.99994,1,0.995,0.78792,0.89232,0.26114,0.97954,0.001486,0.001486,0.001486
88,5796.89,0.87247,0.31169,1.0031,0.99994,1,0.995,0.78775,0.89138,0.26117,0.97701,0.001387,0.001387,0.001387
89,5861.81,0.87406,0.31096,1.00298,0.99994,1,0.995,0.7855,0.89174,0.26122,0.9759,0.001288,0.001288,0.001288
90,5926.72,0.87515,0.30984,0.99955,0.99994,1,0.995,0.7853,0.89213,0.26175,0.97549,0.001189,0.001189,0.001189
91,6086.36,0.85811,0.28101,0.99562,0.99994,1,0.995,0.78436,0.89264,0.26051,0.97511,0.00109,0.00109,0.00109
92,6149.73,0.85489,0.27969,0.99179,0.99994,1,0.995,0.78526,0.8939,0.26089,0.97341,0.000991,0.000991,0.000991
93,6213.63,0.85266,0.27604,0.9977,0.99994,1,0.995,0.78581,0.89403,0.26094,0.97417,0.000892,0.000892,0.000892
94,6277.39,0.85011,0.27285,0.99771,0.99994,1,0.995,0.78567,0.89572,0.2604,0.9748,0.000793,0.000793,0.000793
95,6341.51,0.8422,0.2704,0.98795,0.99994,1,0.995,0.78542,0.89682,0.26114,0.97413,0.000694,0.000694,0.000694
96,6405.48,0.84289,0.27092,0.98965,0.99994,1,0.995,0.78474,0.89795,0.26128,0.97294,0.000595,0.000595,0.000595
97,6469.23,0.84279,0.26856,0.98911,0.99993,1,0.995,0.78552,0.89928,0.26087,0.97364,0.000496,0.000496,0.000496
98,6533.18,0.83657,0.26475,0.99081,0.99993,1,0.995,0.78358,0.89971,0.26142,0.97509,0.000397,0.000397,0.000397
99,6597.03,0.83429,0.26304,0.99081,0.99993,1,0.995,0.78456,0.90006,0.26149,0.97647,0.000298,0.000298,0.000298
100,6661,0.83205,0.26236,0.98781,0.99993,1,0.995,0.78404,0.90079,0.26138,0.97645,0.000199,0.000199,0.000199
